OTUID,D0,D1,D3,D5,D6,D7
OTU_1230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1231,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1232,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1233,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1234,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1235,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1236,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1237,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1238,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1239,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_124,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1240,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1241,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1242,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1243,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1244,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1245,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1246,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1247,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1248,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1249,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_125,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1250,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1251,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1252,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1253,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1254,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1255,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1256,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1257,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1258,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1259,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_126,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1260,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1261,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1263,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1264,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1265,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
OTU_1266,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1267,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1268,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1269,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_127,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1270,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1271,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1272,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1273,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1274,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1275,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1276,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
OTU_1277,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1278,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1279,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
OTU_128,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1280,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1281,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1282,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1283,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1284,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1285,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1286,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1287,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
OTU_1288,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1289,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_129,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1290,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1291,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1292,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1293,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1294,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1295,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1296,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1297,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1298,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1299,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_130,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1300,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1301,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1302,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1303,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1304,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1305,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1306,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1307,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1308,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1309,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_131,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1311,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1312,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1313,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
OTU_1314,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1315,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1316,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1317,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OTU_1319,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
OTU_132,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1320,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
OTU_1321,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
OTU_1322,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1323,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OTU_1324,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1325,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OTU_1326,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1327,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1328,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1329,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1330,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1331,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1332,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1333,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1334,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1335,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
OTU_1336,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1337,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1338,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
