OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_3184,Rare OTUs,D7,40,0,FALSE,0,0,3.01923251109568e-5,0.9285714285714286,-0.5160342006553948
OTU_3185,Rare OTUs,D0,14,1,TRUE,7.538815535752339e-5,9.05305326068665e-5,9.05305326068665e-5,1,0
OTU_3185,Rare OTUs,D1,14,0.2857142857142857,TRUE,1.091969922350258e-5,2.987991859849195e-5,9.05305326068665e-5,1,-0.3814242758044486
OTU_3185,Rare OTUs,D3,20,0,FALSE,0,0,9.05305326068665e-5,1,-0.8943229826268633
OTU_3185,Rare OTUs,D5,20,0,FALSE,0,0,9.05305326068665e-5,1,-0.8943229826268633
OTU_3185,Rare OTUs,D6,40,0,FALSE,0,0,9.05305326068665e-5,1,-0.8943229826268633
OTU_3185,Rare OTUs,D7,40,0,FALSE,0,0,9.05305326068665e-5,1,-0.8943229826268633
OTU_3186,Rare OTUs,D0,14,0.8571428571428571,TRUE,3.653362357408166e-5,3.0592266389609205e-5,3.0592266389609205e-5,0.8571428571428571,0
OTU_3186,Rare OTUs,D1,14,0.35714285714285715,TRUE,1.48779478249083e-5,3.19764653215234e-5,3.0592266389609205e-5,0.8571428571428571,0.01350413378527282
OTU_3186,Rare OTUs,D3,20,0.1,TRUE,2.92449929123698e-6,2.92449929123698e-5,3.0592266389609205e-5,0.8571428571428571,-0.013559879944360809
OTU_3186,Rare OTUs,D5,20,0.05,TRUE,1.476319829927955e-6,2.95263965985591e-5,3.0592266389609205e-5,0.8571428571428571,-0.01069244916581269
OTU_3186,Rare OTUs,D6,40,0,FALSE,0,0,3.0592266389609205e-5,0.8571428571428571,-0.5200154844551506
OTU_3186,Rare OTUs,D7,40,0.025,TRUE,7.48525404952245e-7,2.99410161980898e-5,3.0592266389609205e-5,0.8571428571428571,-0.006501783210467238
OTU_3187,Rare OTUs,D0,14,0.9285714285714286,TRUE,8.612240754376073e-5,6.11882763262559e-5,6.11882763262559e-5,0.9285714285714286,0
