Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,8,Rare OTUs,D1,Intermediate (0.25-0.50],0.19282155635918577,0.19283919597989949,0.1694446655235576,0.21582914445032358,306,1000
0.01%,1e-4,8,Rare OTUs,D1,High (0.50-<1.00),0.22830447432214368,0.22747321991178324,0.2094806673712758,0.25032692768199233,361.5,1000
0.01%,1e-4,8,Rare OTUs,D1,Persistent (1.00),0.1231872958406893,0.1113916084473158,0.1014016601268474,0.15534803194120558,177,1000
0.01%,1e-4,8,Rare OTUs,D3,Lost (0),0.7781696941316958,0.7776369868511888,0.7548188343184123,0.8051385884403747,1236,1000
0.01%,1e-4,8,Rare OTUs,D3,Transient (0-0.25],0.11837081260050002,0.11910669975186104,0.10473725560706384,0.13024486795371906,189,1000
0.01%,1e-4,8,Rare OTUs,D3,Intermediate (0.25-0.50],0.04213497823931303,0.041822721598002495,0.0319938286946657,0.054579946200236,66,1000
0.01%,1e-4,8,Rare OTUs,D3,High (0.50-<1.00),0.03337586428954929,0.033060429050901466,0.02528381549556867,0.04295828834870823,52.5,1000
0.01%,1e-4,8,Rare OTUs,D3,Persistent (1.00),0.027948650738941847,0.027985074626865673,0.02373479512258646,0.03204024812531348,44,1000
0.01%,1e-4,8,Rare OTUs,D5,Lost (0),0.8740691406100632,0.873638198329628,0.8617419183189532,0.8873013402122991,1390,1000
0.01%,1e-4,8,Rare OTUs,D5,Transient (0-0.25],0.06832166675202922,0.06862133499688085,0.05797914675927005,0.07677784770295784,109,1000
0.01%,1e-4,8,Rare OTUs,D5,Intermediate (0.25-0.50],0.02352089195061248,0.02367601246105919,0.016843045099499927,0.030305429212965626,37,1000
0.01%,1e-4,8,Rare OTUs,D5,High (0.50-<1.00),0.023385711222480867,0.023241206030150754,0.019326683291770574,0.028091205177393174,37,1000
0.01%,1e-4,8,Rare OTUs,D5,Persistent (1.00),0.010702589464814206,0.010651629072681704,0.007677543186180422,0.013801973187273997,17,1000
0.01%,1e-4,8,Rare OTUs,D6,Lost (0),0.877817862205065,0.8775637675432446,0.8601237315947142,0.8980115458627326,1396,1000
0.01%,1e-4,8,Rare OTUs,D6,Transient (0-0.25],0.0741036277212399,0.07428214731585518,0.058255307414265156,0.0900562851782364,118,1000
0.01%,1e-4,8,Rare OTUs,D6,Intermediate (0.25-0.50],0.025006870333736445,0.02512562814070352,0.018180397727272726,0.031755915317559155,40,1000
0.01%,1e-4,8,Rare OTUs,D6,High (0.50-<1.00),0.018795335169994883,0.018838306409637642,0.012233012614129807,0.024283935242839352,30,1000
0.01%,1e-4,8,Rare OTUs,D6,Persistent (1.00),0.004276304569963824,0.004361370716510903,0.0018726299704907232,0.007523628969135826,7,1000
0.01%,1e-4,8,Rare OTUs,D7,Lost (0),0.9052487334956496,0.9064837905236908,0.8784386502553596,0.9287065548780488,1441,1000
0.01%,1e-4,8,Rare OTUs,D7,Transient (0-0.25],0.07359904524437183,0.07249118024374598,0.052195135972502936,0.10088477149333192,115,1000
0.01%,1e-4,8,Rare OTUs,D7,Intermediate (0.25-0.50],0.01121340222145585,0.010916693831340673,0.006312436908367141,0.01693191738423078,17,1000
0.01%,1e-4,8,Rare OTUs,D7,High (0.50-<1.00),0.008922000339898773,0.008799497171590195,0.005006101376720902,0.013152353608090925,14,1000
0.01%,1e-4,8,Rare OTUs,D7,Persistent (1.00),0.001016818698623976,6.361323155216285e-4,0,0.003146682640255028,1,1000
0.01%,1e-4,10,Abundant OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,10,Abundant OTUs,D0,Transient (0-0.25],0,0,0,0,0,1000
0.01%,1e-4,10,Abundant OTUs,D0,Intermediate (0.25-0.50],3.150523317888637e-4,0,0,0.0013812154696132596,0,1000
0.01%,1e-4,10,Abundant OTUs,D0,High (0.50-<1.00),0.0409534746069386,0.0410958904109589,0.0332409972299169,0.049247606019151846,30,1000
0.01%,1e-4,10,Abundant OTUs,D0,Persistent (1.00),0.9587314730612725,0.9587912087912088,0.9502642488211879,0.9667590027700831,698,1000
0.01%,1e-4,10,Abundant OTUs,D1,Lost (0),0.0196351952289099,0.01921757940276459,0.0136986301369863,0.027511263693582057,14,1000
0.01%,1e-4,10,Abundant OTUs,D1,Transient (0-0.25],0.11703476524210701,0.11691884456671252,0.1009549795361528,0.13351954009315606,85,1000
0.01%,1e-4,10,Abundant OTUs,D1,Intermediate (0.25-0.50],0.24018982685296697,0.24,0.22129648100861793,0.2578875171467764,175,1000
0.01%,1e-4,10,Abundant OTUs,D1,High (0.50-<1.00),0.2938618583110521,0.29423841209146884,0.27111655379304367,0.316011021703782,214,1000
0.01%,1e-4,10,Abundant OTUs,D1,Persistent (1.00),0.329278354364964,0.3292096044621297,0.31767675824996267,0.3434978629167879,240,1000
0.01%,1e-4,10,Abundant OTUs,D3,Lost (0),0.7528798772613808,0.7517146776406035,0.7332398289919595,0.7777853881278539,547,1000
0.01%,1e-4,10,Abundant OTUs,D3,Transient (0-0.25],0.0959048675686685,0.09641873278236915,0.07872385964111227,0.1120405843233104,70,1000
