Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,n_retained_Median,median_log10_shift_Mean,median_log10_shift_Median,median_log10_shift_Q2.5,median_log10_shift_Q97.5,prop_decrease_Median,prop_increase_Median,N_iterations
1%,0.01,14,Abundant OTUs,D3,11,-2.2744574454134243,-2.3165400255325483,-2.4215721374238477,-2.0132810708718263,0.9090909090909091,0.09090909090909091,1000
1%,0.01,14,Abundant OTUs,D5,9,-2.089294132774849,-2.195683273158201,-2.5417876301241087,-1.6738344006712584,0.8888888888888888,0.1111111111111111,1000
1%,0.01,14,Abundant OTUs,D6,7,-1.66287291532543,-1.6572309252021558,-2.089464957077572,-1.2193581435052347,0.8571428571428571,0.14285714285714285,1000
1%,0.01,14,Abundant OTUs,D7,6,-1.6349204258196584,-1.6738054992914215,-2.3038962984455895,-0.8708624282737126,0.8333333333333334,0.16666666666666666,1000
1%,0.01,14,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
1%,0.01,14,Rare OTUs,D1,2199,-0.12328915231290605,-0.12328915231290605,-0.12328915231290605,-0.12328915231290605,0.6989540700318326,0.30104592996816737,1000
1%,0.01,14,Rare OTUs,D3,623,-0.014762107749063294,-0.014747488040182777,-0.016533044751405157,-0.0128268345548328,0.7100977198697068,0.2877813504823151,1000
1%,0.01,14,Rare OTUs,D5,349,0.003992301979137638,0.005326463193491726,-0.0040244706127470775,0.011856352736093556,0.46685914930439987,0.5331408506956001,1000
1%,0.01,14,Rare OTUs,D6,338,0.008962202786020125,0.008865704250368589,-0.0037145377225199054,0.02132520106425285,0.44060235507246376,0.5593976449275362,1000
1%,0.01,14,Rare OTUs,D7,312,-0.0022240683783288197,-0.0032462738121590284,-0.012569104183211709,0.02044882340624758,0.517828247803976,0.48217175219602404,1000
