Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
0.01%,1e-4,14,Spearman rho: rare retained proportion vs dilution rank,-0.9605128484539768,0.04655783226307089,-0.9428571428571428,-1,-0.8285714285714285,1000
0.1%,0.001,8,"Mean abundant decrease proportion, D1-D7",0.8006008752819248,0.015597025048137017,0.8010829248218967,0.768146964402515,0.8297247912837284,1000
0.1%,0.001,8,"Mean abundant median log10 shift vs D0, D1-D7",-1.0799644083971707,0.06377622061540576,-1.0769519627907966,-1.2031358919273782,-0.9602935240633842,1000
0.1%,0.001,8,"Mean rare decrease proportion, D1-D7",0.5222076920882374,0.020514959224954794,0.5218186148912634,0.4844905086417109,0.5634562791450394,1000
0.1%,0.001,8,"Mean rare median log10 shift vs D0, D1-D7",-0.0021867848310532178,0.013859133425636584,-0.0050333909529169715,-0.02118195076458311,0.029014559171335722,1000
0.1%,0.001,8,"Mean rare transient/lost proportion, D1-D7",0.831275747430401,0.002830271033745967,0.8312190796417771,0.8256799393235916,0.8367082577132486,1000
0.1%,0.001,8,"Mean rare transient/lost proportion, D3-D7",0.9415364539088342,0.002468828304532999,0.9414736513522828,0.9365636484769432,0.9464530359432969,1000
0.1%,0.001,8,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.20817066768697126,0.006998274364418485,0.207977575090055,0.19466699245311553,0.22191877584466185,1000
0.1%,0.001,8,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.1628436279623203,0.00832485443040552,0.16291304438860182,0.14703526791369098,0.17869576117901387,1000
0.1%,0.001,8,"Mean retention gap: abundant minus rare, D1-D7",0.17357459741223644,0.009305668169902906,0.1734284345345968,0.1552343993527741,0.19146249372879304,1000
0.1%,0.001,8,"Mean retention gap: abundant minus rare, D3-D7",0.18792004736201232,0.011417613680394545,0.18773481149651033,0.16536620815704234,0.21012279174989928,1000
0.1%,0.001,8,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,8,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,8,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,8,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,8,Spearman rho: abundant retained proportion vs dilution rank,-0.9685617560668743,0.03580604578754349,-0.9856107606091623,-0.9856107606091623,-0.8827348295047496,1000
0.1%,0.001,8,Spearman rho: rare retained proportion vs dilution rank,-0.971572701100597,0.04605453790602733,-1,-1,-0.8285714285714285,1000
0.1%,0.001,10,"Mean abundant decrease proportion, D1-D7",0.8092337720362318,0.013560565061433645,0.8094130142639553,0.7818046764058232,0.8336500520951541,1000
0.1%,0.001,10,"Mean abundant median log10 shift vs D0, D1-D7",-1.1071745061383036,0.05839643821144767,-1.1047550179707932,-1.2246884413595414,-0.9933907895210239,1000
0.1%,0.001,10,"Mean rare decrease proportion, D1-D7",0.5318599150405747,0.01665338162199384,0.5317961001129428,0.500690883604593,0.5646698253894878,1000
0.1%,0.001,10,"Mean rare median log10 shift vs D0, D1-D7",-0.007592624685514029,0.010446113600182888,-0.010315969943802995,-0.021137211300353852,0.016996278770712407,1000
0.1%,0.001,10,"Mean rare transient/lost proportion, D1-D7",0.8114181498247531,0.0023403148523664205,0.8115358825349885,0.8068399941742269,0.815745198959544,1000
0.1%,0.001,10,"Mean rare transient/lost proportion, D3-D7",0.9329665367165123,0.0023992745054922677,0.9330497089117779,0.928170804772205,0.9372485637242319,1000
0.1%,0.001,10,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.19967535511126597,0.006590784912241384,0.19952106001376285,0.18637863474788485,0.21215995922053357,1000
0.1%,0.001,10,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.1682926308667408,0.008161659847261813,0.16822563119171913,0.15226464805466247,0.18377541073124554,1000
0.1%,0.001,10,"Mean retention gap: abundant minus rare, D1-D7",0.17102585387307032,0.008728053467852995,0.1708378906697962,0.15385910478645515,0.18817827304250886,1000
0.1%,0.001,10,"Mean retention gap: abundant minus rare, D3-D7",0.1912772335946159,0.01090183987436685,0.1913621717241763,0.16986377315386667,0.2129239884690817,1000
0.1%,0.001,10,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,10,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,10,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,10,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,10,Spearman rho: abundant retained proportion vs dilution rank,-0.9700632073749662,0.0293201224045717,-0.9856107606091623,-0.9856107606091623,-0.9276336570439175,1000
