"Common_n","Group","Metric","Mean","Median","Q2.5","Q97.5","N_iterations","Ref_Median","Difference_from_n14","Ratio_to_n14","Same_sign_as_n14"
12,"D5","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
12,"D5","Zeta_order2",0.556477976387286,0.556663211246352,0.541650318495159,0.570587120405294,100,0.557428602594782,-0.000765391348429456,0.998626924874564,TRUE
12,"D5","Zeta_order3",0.410420757709422,0.409894007785222,0.392124102132134,0.430517968049309,100,0.411117155588108,-0.00122314780288652,0.997024819358032,TRUE
12,"D6","DeltaAIC_ExpMinusPower",31.5041919714901,30.4005053158824,22.9822056501567,46.1331625116907,100,35.4852046745272,-5.08469935864476,0.856709312929657,TRUE
12,"D6","Exp_slope",-0.169751270895212,-0.167426886983663,-0.199729776965734,-0.145495553140858,100,-0.143561812504699,-0.0238650744789645,1.16623553340958,TRUE
12,"D6","Last_over_first",0.104258574170012,0.106430678466077,0.0736310761534521,0.13391399880957,100,0.0937285476698789,0.0127021307961981,1.13552040559656,TRUE
12,"D6","Power_slope",-0.891609147068481,-0.881754952901311,-1.0236216979278,-0.780222622211795,100,-0.865231180041167,-0.0165237728601445,1.01909752357671,TRUE
12,"D6","Zeta_half_order",0.163533784808598,0.16381614061586,0.139161855452271,0.191147074860066,100,0.14631950024593,0.01749664036993,1.11957832237345,TRUE
12,"D6","Zeta_last",0.104258574170012,0.106430678466077,0.0736310761534521,0.13391399880957,100,0.0937285476698789,0.0127021307961981,1.13552040559656,TRUE
12,"D6","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
12,"D6","Zeta_order2",0.451092503439719,0.450929678160131,0.42620157425957,0.472255414026443,100,0.449706118271981,0.00122355988814993,1.00272079884715,TRUE
12,"D6","Zeta_order3",0.294652325079527,0.295584260156643,0.269384574018758,0.318589368922456,100,0.293620010120275,0.00196425003636747,1.00668976898258,TRUE
12,"D7","DeltaAIC_ExpMinusPower",34.1532656766664,33.8729904003557,22.958303733495,52.8915783585316,100,37.5954140624027,-3.72242366204695,0.900987294464471,TRUE
12,"D7","Exp_slope",-0.2218213743185,-0.221047345441922,-0.271220800272014,-0.177879396762578,100,-0.187600876383773,-0.033446469058148,1.17828524953011,TRUE
12,"D7","Last_over_first",0.0542924241194759,0.0534124923023076,0.0303399199027352,0.0851105185813625,100,0.0466513701161188,0.0067611221861888,1.1449286948992,TRUE
12,"D7","Power_slope",-1.15603835385067,-1.14576312945738,-1.38373385556453,-0.941432349785629,100,-1.12443494533199,-0.0213281841253901,1.01896791291834,TRUE
12,"D7","Zeta_half_order",0.101156378014921,0.0987190047217033,0.0697669216851513,0.148246044047245,100,0.0837976775340351,0.0149213271876683,1.17806373191677,TRUE
12,"D7","Zeta_last",0.0542924241194759,0.0534124923023076,0.0303399199027352,0.0851105185813625,100,0.0466513701161188,0.0067611221861888,1.1449286948992,TRUE
12,"D7","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
12,"D7","Zeta_order2",0.351973807524749,0.350335846045825,0.309876901115219,0.403701810961518,100,0.346784322771164,0.00355152327466102,1.01024130285441,TRUE
12,"D7","Zeta_order3",0.213703955167597,0.214059445637702,0.176419594899643,0.26348543082246,100,0.21077554895396,0.00328389668374152,1.01558006467087,TRUE
14,"D0","DeltaAIC_ExpMinusPower",58.5110861901558,58.5903595229595,57.4015653215923,59.4604413617996,100,58.5903595229595,0,1,TRUE
14,"D0","Exp_slope",-0.042330983082259,-0.0423354878798512,-0.0423757486726015,-0.0422791054004081,100,-0.0423354878798512,0,1,TRUE
14,"D0","Last_over_first",0.517531616123165,0.517531616123165,0.517531616123165,0.517531616123165,100,0.517531616123165,0,1,TRUE
14,"D0","Power_slope",-0.247001983239629,-0.247022820725789,-0.24716427870795,-0.246791821814038,100,-0.247022820725789,0,1,TRUE
14,"D0","Zeta_half_order",0.603663917438565,0.603632830013112,0.602721731590746,0.604529124899548,100,0.603632830013112,0,1,TRUE
14,"D0","Zeta_last",0.517531616123165,0.517531616123165,0.517531616123165,0.517531616123165,100,0.517531616123165,0,1,TRUE
14,"D0","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
14,"D0","Zeta_order2",0.830800464603281,0.830800464603281,0.830800464603281,0.830800464603281,100,0.830800464603281,0,1,TRUE
14,"D0","Zeta_order3",0.743340848974652,0.743340848974652,0.743340848974652,0.743340848974652,100,0.743340848974652,0,1,TRUE
14,"D1","DeltaAIC_ExpMinusPower",52.7090224554274,52.7364219086837,51.5420160265659,54.0290781254092,100,52.7364219086837,0,1,TRUE
14,"D1","Exp_slope",-0.0890809148880324,-0.0890781650417646,-0.0892690402842703,-0.0889189450433394,100,-0.0890781650417646,0,1,TRUE
14,"D1","Last_over_first",0.254591399305086,0.254591399305086,0.254591399305086,0.254591399305086,100,0.254591399305086,0,1,TRUE
14,"D1","Power_slope",-0.521939605436383,-0.521890420236079,-0.522735307414317,-0.521227848871988,100,-0.521890420236079,0,1,TRUE
14,"D1","Zeta_half_order",0.341887890438157,0.341849916520013,0.339776575966789,0.343941040566762,100,0.341849916520013,0,1,TRUE
14,"D1","Zeta_last",0.254591399305086,0.254591399305086,0.254591399305086,0.254591399305086,100,0.254591399305086,0,1,TRUE
14,"D1","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
14,"D1","Zeta_order2",0.686104834202844,0.686104834202844,0.686104834202844,0.686104834202844,100,0.686104834202844,0,1,TRUE
14,"D1","Zeta_order3",0.542404709590306,0.542404709590306,0.542404709590306,0.542404709590306,100,0.542404709590306,0,1,TRUE
14,"D3","DeltaAIC_ExpMinusPower",27.4954157510236,27.5351202305944,25.5568726195004,29.0515998565827,100,27.5351202305944,0,1,TRUE
14,"D3","Exp_slope",-0.0782453493414936,-0.0782763874470193,-0.0821029363425704,-0.0742311035435296,100,-0.0782763874470193,0,1,TRUE
14,"D3","Last_over_first",0.257535664505124,0.257207726886507,0.242746064246343,0.27229739828466,100,0.257207726886507,0,1,TRUE
14,"D3","Power_slope",-0.479745432437205,-0.480090943588905,-0.501090166893017,-0.4581219535962,100,-0.480090943588905,0,1,TRUE
14,"D3","Zeta_half_order",0.320852743092246,0.320919372763743,0.30758969169325,0.335407125225507,100,0.320919372763743,0,1,TRUE
14,"D3","Zeta_last",0.257535664505124,0.257207726886507,0.242746064246343,0.27229739828466,100,0.257207726886507,0,1,TRUE
