"Common_n","Group","Order","Mean_Zeta","Median_Zeta","Q2.5_Zeta","Q97.5_Zeta","Mean_Ratio","Median_Ratio","Q2.5_Ratio","Q97.5_Ratio","N_iterations"
12,"D5",10,0.190537565297295,0.18721380800647,0.164216180400974,0.221931176093873,0.937026678993848,0.936165822680699,0.919184348733134,0.956228193744537,100
12,"D5",11,0.179765002311293,0.176635646728955,0.153052621246508,0.211622044810413,0.942815767139887,0.942116636354934,0.923319681629458,0.963338353451551,100
12,"D5",12,0.170495095728896,0.167504097843904,0.144011503775925,0.204233461901453,0.947694639504221,0.946527143481196,0.926877641427771,0.969281437125749,100
12,"D6",1,1,1,1,1,NA,NA,NA,NA,100
12,"D6",2,0.451092503439719,0.450929678160131,0.42620157425957,0.472255414026443,0.451092503439719,0.450929678160131,0.42620157425957,0.472255414026443,100
12,"D6",3,0.294652325079527,0.295584260156643,0.269384574018758,0.318589368922456,0.652931526465023,0.655214524106317,0.628068225290072,0.675583279121434,100
12,"D6",4,0.225833260190829,0.227071749487603,0.200337933835075,0.251004514487047,0.765984342134479,0.766313708555244,0.741491726973145,0.794875215052434,100
12,"D6",5,0.187765305390965,0.188610801568395,0.162619149234027,0.214534141339009,0.830825550406835,0.831360780186728,0.805315572339895,0.858926448924007,100
12,"D6",6,0.163533784808598,0.16381614061586,0.139161855452271,0.191147074860066,0.870201105050453,0.871100257575042,0.842539573567727,0.894006419997498,100
12,"D6",7,0.146615820046597,0.147010044168122,0.12244174281279,0.174989152781066,0.895651729778925,0.897436162093096,0.867030956443481,0.917236878973093,100
12,"D6",8,0.134024764027176,0.134708506184828,0.109450792047742,0.163050804569246,0.913058405067818,0.915008999774696,0.884006991413064,0.936394228793286,100
12,"D6",9,0.124214036647608,0.125321423423424,0.0986755244549362,0.153085091280932,0.925538290665022,0.928145568649204,0.896230045316737,0.951010522254201,100
12,"D6",10,0.11630632533953,0.118015530588386,0.089373168444229,0.14487705044872,0.934838316283788,0.937998483001696,0.904315759585507,0.959559156500965,100
12,"D6",11,0.109768173031656,0.111759923202785,0.0810122988009255,0.138011157540721,0.941990615648092,0.945961297459662,0.908994804680059,0.966995501551114,100
12,"D6",12,0.104258574170012,0.106430678466077,0.0736310761534521,0.13391399880957,0.947642746952881,0.951333767078725,0.909090909090909,0.97556758296539,100
12,"D7",1,1,1,1,1,NA,NA,NA,NA,100
12,"D7",2,0.351973807524749,0.350335846045825,0.309876901115219,0.403701810961518,0.351973807524749,0.350335846045825,0.309876901115219,0.403701810961518,100
12,"D7",3,0.213703955167597,0.214059445637702,0.176419594899643,0.26348543082246,0.605649585477781,0.604769087437699,0.557603041993037,0.664010636139464,100
12,"D7",4,0.154840044766642,0.155542558098722,0.120012704687912,0.20534306235043,0.72225771733818,0.721376154709488,0.672683535833932,0.781579941885898,100
