"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","D002","D108",0.00401177618814541,0.564461785333948,0.411198089140716,0.000747638542921583,0.0195807107942686
"CbMPDiCbraya","D002","D109",0.00445342383870369,0.562136249090607,0.415983037682716,0.000512596023534725,0.0169146933644381
"CbMPDiCbraya","D002","D110",0.000843969131537499,0.296872751065445,0.54726682093258,0.00230458547431979,0.152711873396118
"CbMPDiCbraya","D002","D111",0.00595754997311176,0.308568616016317,0.668473197012406,0.000537162390306551,0.0164634746078587
"CbMPDiCbraya","D002","D112",0.0025510045839348,0.59251584292268,0.385241211594102,0.00135430863226964,0.0183376322670143
"CbMPDiCbraya","D002","D113",0.00223677927612586,0.226628442698147,0.597691671696782,0.00107615754447861,0.172366948784466
"CbMPDiCbraya","D002","D114",0.00400600789028366,0.325525632943364,0.650903760440733,0.00111569537680875,0.018448903348811
"CbMPDiCbraya","D002","D301",0.016531951324832,0.539907508204316,0.359117512536291,0.00653400786893593,0.0779090200656259
"CbMPDiCbraya","D002","D302",0.00526797965458399,0.562933053140414,0.330187722423022,0.0240825146593398,0.07752873012264
"CbMPDiCbraya","D002","D303",0.0148127608651236,0.550547276139718,0.311528844691368,0.0300185175901105,0.0930926007136803
"CbMPDiCbraya","D002","D304",0.00504947316190421,0.390854485081857,0.484091082287096,0.00915015421516594,0.110854805253977
"CbMPDiCbraya","D002","D305",0.00674268006309538,0.263547697635068,0.624155190854193,0.0234556014289129,0.0820988300187306
"CbMPDiCbraya","D002","D306",0.0151203214399669,0.36955864167577,0.519337514089591,0.0180999938541582,0.0778835289405143
"CbMPDiCbraya","D002","D307",0.00535530903560818,0.240382807712538,0.621268280244812,0.0318663105085919,0.10112729249845
"CbMPDiCbraya","D002","D308",0.00573555650303721,0.464127370796283,0.253831310620728,0.00818509275014914,0.268120669329803
"CbMPDiCbraya","D002","D309",0.00504947316190421,0.621014485868099,0.256752266436969,0.0109898892102293,0.106193885322798
"CbMPDiCbraya","D002","D310",0.00648041147944625,0.283638728013749,0.598475652012928,0.014627026784425,0.096778181709452
"CbMPDiCbraya","D002","D311",0.00532681152687472,0.640924501453849,0.249257098823488,0.0187341952872626,0.0857573929085258
"CbMPDiCbraya","D002","D312",0.00795338928825108,0.269577972677757,0.639875589653329,0.0238207886423149,0.058772259738348
"CbMPDiCbraya","D002","D313",0.00595429205218762,0.638453705625467,0.245957066909157,0.0274910850909454,0.0821438503222433
"CbMPDiCbraya","D002","D314",0.00504947316190421,0.638124347190507,0.245319145191168,0.0104038165589459,0.101103217897475
"CbMPDiCbraya","D002","D315",0.0164610597199132,0.581999334439353,0.222779428099979,0.0173980947164545,0.1613620830243
"CbMPDiCbraya","D002","D316",0.0210881176848312,0.561430321457812,0.318428561727684,0.0170498814785317,0.0820031176511413
"CbMPDiCbraya","D002","D317",0.0115580423178283,0.634425588709808,0.254409156682417,0.0186921843828592,0.0809150279070875
"CbMPDiCbraya","D002","D318",0.029917398791629,0.55988333997094,0.310097253412769,0.0196381731825011,0.0804638346421609
"CbMPDiCbraya","D002","D319",0.00523827840195149,0.574335772992383,0.320923916395642,0.0112745132398147,0.0882275189702087
"CbMPDiCbraya","D002","D320",0.00637751379119115,0.370233206393781,0.310852289105851,0.0321479767593985,0.280389013949779
"CbMPDiCbraya","D002","D501",0.0311578763025014,0.589162629766886,0.212512450872245,0.0221140070355572,0.14505303602281
"CbMPDiCbraya","D002","D502",0.0219108856026373,0.383727235361422,0.529127493194271,0.0242687964897017,0.0409655893519678
"CbMPDiCbraya","D002","D503",0.0367923381151216,0.390618516792531,0.298778199121061,0.0218765829653452,0.251934363005941
"CbMPDiCbraya","D002","D504",0.0313368028118324,0.406861625037841,0.309734906658697,0.0168885584384641,0.235178107053165
"CbMPDiCbraya","D002","D505",0.0342897483991416,0.310962729855764,0.487685135936868,0.027630402363558,0.139431983444669
"CbMPDiCbraya","D002","D506",0.0302973425040382,0.226280779625353,0.6186134922227,0.0217972342428079,0.103011151405101
"CbMPDiCbraya","D002","D507",0.0302827531540467,0.498506314743159,0.403608513994933,0.0164124545124492,0.051189963595412
"CbMPDiCbraya","D002","D508",0.0227519234405241,0.124476709229549,0.743863272429774,0.0521500271339332,0.0567580677662193
"CbMPDiCbraya","D002","D509",0.018852921965339,0.426717644596655,0.473201295774927,0.0178495200644931,0.0633786175985859
"CbMPDiCbraya","D002","D510",0.0307950148752737,0.186979946343672,0.348918968584419,0.0327884723269246,0.40051759786971
"CbMPDiCbraya","D002","D511",0.0304661494074734,0.436000920222228,0.431773293304391,0.0382645040812138,0.0634951329846937
"CbMPDiCbraya","D002","D512",0.0325151046379265,0.437957124401602,0.207108772450299,0.011121720153209,0.311297278356963
"CbMPDiCbraya","D002","D513",0.0218602969440739,0.301759673080286,0.296377768430497,0.0304450908453965,0.349557170699747
"CbMPDiCbraya","D002","D514",0.0308664575486473,0.21409311315014,0.624441531150668,0.0246782457814632,0.105920652369082
"CbMPDiCbraya","D002","D515",0.0223686908499138,0.423436227537408,0.434124911832465,0.0566734359705665,0.0633967338096468
"CbMPDiCbraya","D002","D516",0.0216319294208016,0.377297545431759,0.330296900436764,0.0336242681600054,0.23714935655067
"CbMPDiCbraya","D002","D517",0.0313047946956077,0.508102783675807,0.215141573339439,0.0197693587478381,0.225681489541309
"CbMPDiCbraya","D002","D518",0.0312013709526594,0.602009332657109,0.297431963765483,0.0203693263057385,0.0489880063190102
"CbMPDiCbraya","D002","D519",0.0312743998515789,0.478295750243065,0.303036358919143,0.130670634332888,0.0567228566533247
"CbMPDiCbraya","D002","D520",0.0304293639727664,0.465637764426757,0.320865089899667,0.123463273540263,0.0596045081605455
"CbMPDiCbraya","D002","D601",0.0134395341424154,0.486735943341861,0.380329828076976,0.00606214961939619,0.113432544819352
"CbMPDiCbraya","D002","D602",0.0367851689134379,0.33631603227327,0.320378790134855,0.00961898152515428,0.296901027153282
"CbMPDiCbraya","D002","D603",0.037424209223602,0.36362991056102,0.247012244856243,0.036061875543757,0.315871759815379
"CbMPDiCbraya","D002","D604",0.0356620345044867,0.442811781728657,0.22777369202222,0.0174009851874038,0.276351506557233
"CbMPDiCbraya","D002","D605",0.0283221559399617,0.238595005253208,0.572401158671455,0.0229280067029254,0.137753673432451
"CbMPDiCbraya","D002","D606",0.0369521524708794,0.502680510026551,0.310850310391359,0.0319513142880413,0.117565712823169
"CbMPDiCbraya","D002","D607",0.0325802518290919,0.169342427395633,0.509939450231402,0.159847007003443,0.12829086354043
"CbMPDiCbraya","D002","D608",0.039135910711272,0.613541113335412,0.271121506325673,0.0297836613263258,0.0464178083013174
"CbMPDiCbraya","D002","D609",0.0374764784087087,0.403981348081123,0.383526451845802,0.0280340958680367,0.146981625796329
