id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1956	52	1.85046080508398	1.50151160320453	1.75258394609343e-06	0.153846153846154	M2	4.23955674312582	0	D0	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	uncultured__bacterium
OTU_1961	19	5.55438801431975	4.50534907552257	0.272222538599808	0.0116959064327485	M1	2.20482917168215	0.74792243767313	D6	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
OTU_1967	64	0.114665556947953	0.101418223981429	0.186750241411295	0.460813492063492	M3	2.19195552140424	0	D0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
OTU_1989	2	2.03825083394292	-0.246098355408068	0.00266815536854095	0	M4	-1.12857618729367	0.5	D0	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia
OTU_2014	55	0.656410881765389	0.808846924587509	0.161122773970989	0.4996632996633	M3	1.70847477361359	0	D0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
OTU_2022	8	1.00768420257965	0.748331879213565	0.119047249891237	0	M2	2.10840654316489	0.5625	D3	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
OTU_2029	4	0.356334468100583	-0.341349918313222	4.8466128136827e-08	0.333333333333333	M4	1.3337718577107	0	D0	Bacteria	Patescibacteria	Microgenomatia	Candidatus__Pacebacteria	uncultured__bacterium	uncultured__bacterium
OTU_2042	43	3.90290761608357	3.85894806261469	0.102575961283803	0.387596899224806	M3	1.06383377655939	0	D0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	livecontrolB21	uncultured__bacterium
OTU_2044	6	0.579212181354918	0.249782001351628	0.0461565122553215	0	M2	0.278276586346398	0.666666666666667	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_2044	4	0.275585206153451	-0.113826071263749	0.073507066870793	0	M1	-0.165311630633395	0.375	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_2056	63	1.46074608951941	1.61500874772698	0.000298584689443472	0.23963133640553	M1	3.03185692294808	0	D0	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103
OTU_2085	15	0.583435293700688	1.00368596224233	0.00124158607285751	0.580952380952381	M1	-0.284123582828667	0.124444444444444	D0	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured__organism	uncultured__bacterium
OTU_2101	14	1.29183384645275	0.82186728524148	0.0766754742167099	0.263736263736264	M1	0.103253373600962	0.520408163265306	D1	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
OTU_2102	14	0.467193481884204	0.91499347731413	0.00609046972291556	0.120879120879121	M2	1.25641364528335	0.244897959183674	D1	Bacteria	SAR324__clade(Marine__group__B)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_2105	12	6.2123588644987	5.1143474838168	0.00730908529939023	0.454545454545455	M3	-0.708928965339658	0.277777777777778	D0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter
