OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_1211	6	0.097565647	0.03094437	0.004699622	0.266666667	M2	-0.09249671	0.277777778	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	96.941
OTU_1211	5	0.194224365	0.353285328	0.112241475	0	M4	0.515710623	0.56	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	96.941
OTU_1224	12	1.405559115	1.103931361	0.010309037	0.166666667	M2	0.871010687	0.291666667	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	93.396
OTU_1234	3	1.404574866	1.487418972	6.86E-05	0.333333333	M1	0.669438681	0	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D721004B	92.235
OTU_1238	5	0.069458504	0.077242574	0.102474711	0	M2	0.221803488	0.56	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D714002A	93.396
OTU_1240	3	0.164623648	-0.107402168	0.000612658	0	M6	0	0.444444444	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D109044B	89.437
OTU_1258	17	2.884045978	1.473490743	0.053419601	0.088235294	M1	0.200606554	0.484429066	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D732004A	90.353
OTU_1260	8	1.717099393	2.478040811	0.01612128	0.25	M2	0.292906249	0.21875	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D733002	87.765
OTU_13	11	0.284536234	0.229757962	0.002428352	0.254545455	M2	1.063712166	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium	NA	NA
OTU_1303	4	0.172735351	-0.231974693	0.003573157	0	M4	0.461083968	0.375	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5	uncultured__organism	D104049F	89.151
OTU_1311	10	2.841504155	1.867463755	0.198770778	0	M7	1.748657619	0.64	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D104049F	87.5
OTU_1312	6	0.05896497	0.110452117	0.115473249	0	M2	0.278276586	0.611111111	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D714002A	96.226
OTU_1314	7	0.575402061	0.653320683	0.165206558	0	M3	1.993231791	0.408163265	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	95.283
OTU_1337	3	0.093910768	-0.267900587	0.044060696	0	M1	-0.076028592	0	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D510014	97.877
OTU_1340	12	0.940899554	0.79587858	0.009296074	0.227272727	M2	1.063712166	0.152777778	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D732004A	91.335
OTU_1372	3	1.403550627	1.04178106	0.117663192	0	M1	0.351412392	0	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D721004B	95.283
OTU_138	48	1.263391882	1.285443761	1.49E-06	0.128546099	M2	3.839418803	0	D0	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfofustis	NA	NA
OTU_1385	10	0.390355596	0.65661419	1.49E-07	0.222222222	M2	0.038108375	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D717016A	95.991
OTU_1408	3	0.061226787	-0.1609389	0.000254206	0	M3	0.045749571	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter	D307045	92.254
OTU_141	61	0.182543614	0.447458911	0.176327261	0.458469945	M3	2.030795272	0	D0	Bacteria	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	D714008A	100
OTU_1419	2	0.060297398	-0.232407838	0.002982792	0	M5	0.10976426	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	uncultured	NA	NA
OTU_1433	11	1.581180814	0.958442621	0.129371768	0	M1	1.748657619	0.561983471	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D722001	91.059
OTU_144	7	0.691347521	1.141378195	0.251787886	0	M6	1.056033794	0.612244898	D3	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	NA	NA
OTU_1484	5	1.273885933	1.624743882	0.202949475	0	M3	-0.413802944	0.72	D5	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae__UCG-004	NA	NA
OTU_1488	4	0.171987076	0.047249265	0.078140487	0	M2	-0.366679399	0.625	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D738002B	92.689
OTU_1539	15	1.071068233	1.686027891	1.93E-05	0.266666667	M1	-0.284123583	0.124444444	D0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	X31	100
OTU_156	39	1.739366232	2.647415018	0.079826666	0.314439946	M3	0.848953444	0	D0	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	D12	100
OTU_1560	24	0.457595468	0.461431882	5.71E-05	0.177536232	M1	0.392607133	0	D0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arcticiflavibacter	X9	97.877
OTU_161	3	0.834180231	0.303279435	0.029117684	0	M5	0.092057462	0.444444444	D3	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	NA
