SampleID	Group	Measure	Value
D612	D6	se.ACE	10.658
D613	D6	se.ACE	8.757
D614	D6	se.ACE	10.312
D615	D6	se.ACE	8.318
D616	D6	se.ACE	9.513
D617	D6	se.ACE	9.162
D618	D6	se.ACE	9.352
D619	D6	se.ACE	12.366
D620	D6	se.ACE	8.997
D621	D6	se.ACE	8.097
D622	D6	se.ACE	11.012
D623	D6	se.ACE	6.935
D624	D6	se.ACE	8.207
D625	D6	se.ACE	10.045
D626	D6	se.ACE	9.696
D627	D6	se.ACE	9.491
D628	D6	se.ACE	10.711
D629	D6	se.ACE	8.085
D630	D6	se.ACE	7.789
D631	D6	se.ACE	11.76
D632	D6	se.ACE	11.001
D633	D6	se.ACE	10.626
D634	D6	se.ACE	10.391
D635	D6	se.ACE	10.413
D636	D6	se.ACE	8.822
D637	D6	se.ACE	10.847
D638	D6	se.ACE	11.785
D639	D6	se.ACE	11.142
D640	D6	se.ACE	7.416
D701	D7	se.ACE	8.776
D702	D7	se.ACE	8.603
D703	D7	se.ACE	8.982
D704	D7	se.ACE	7.2
D705	D7	se.ACE	7.093
D706	D7	se.ACE	5.177
D707	D7	se.ACE	8.804
D708	D7	se.ACE	6.822
D709	D7	se.ACE	6.181
D710	D7	se.ACE	7.533
D711	D7	se.ACE	8.616
D712	D7	se.ACE	9.485
D713	D7	se.ACE	9.848
D714	D7	se.ACE	7.708
D715	D7	se.ACE	7.516
D716	D7	se.ACE	5.648
D717	D7	se.ACE	5.579
D718	D7	se.ACE	7.45
D719	D7	se.ACE	8.206
D720	D7	se.ACE	8.049
D721	D7	se.ACE	6.409
D722	D7	se.ACE	10.1
D723	D7	se.ACE	5.057
D724	D7	se.ACE	6.372
D725	D7	se.ACE	8.233
D726	D7	se.ACE	6.565
D727	D7	se.ACE	8.479
D728	D7	se.ACE	7.869
D729	D7	se.ACE	6.933
D730	D7	se.ACE	3.448
D731	D7	se.ACE	4.878
D732	D7	se.ACE	8.051
D733	D7	se.ACE	6.516
D734	D7	se.ACE	5.659
D735	D7	se.ACE	6.856
D736	D7	se.ACE	4.686
D737	D7	se.ACE	7.975
D738	D7	se.ACE	7.243
