Group	OTU	fV	fM	fN	rChisqX	rChisqP	rKsD	rKsP
D7	OTU_366	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_367	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_371	1202741.90769231	240.7	2	194877.168259244	0	0.536860920704281	1.93755345101465e-10
D7	OTU_373	0.346153846153846	0.25	7	54	0.0556027097333884	0.489551880502453	9.42654387880992e-09
D7	OTU_374	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_375	9496.19935897436	26.575	13	13936.0968955785	0	0.42455082133977	1.09328371111772e-06
D7	OTU_376	0.353205128205128	0.175	4	78.7142857142857	0.000170845793711161	0.515796332042603	1.14195819467255e-09
D7	OTU_378	0.643589743589744	0.15	2	167.333333333333	7.8541067729362e-18	0.524160416146027	5.69430613772681e-10
D7	OTU_379	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_382	0.973717948717949	0.275	6	138.090909090909	5.34013739882657e-13	0.459757331198745	9.05831968323056e-08
D7	OTU_383	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_384	0.625	0.125	1	195	1.25933899634915e-22	0.537816469418554	1.78474124368222e-10
D7	OTU_385	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_386	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_387	20016.3788461538	42.675	22	18292.6485061511	0	0.381465415951739	1.75910219101238e-05
D7	OTU_388	116.746153846154	5.65	22	805.858407079646	6.08554460335658e-144	0.300518354815308	0.00145644703572889
D7	OTU_389	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_390	0.281410256410256	0.225	7	48.7777777777778	0.135610024282501	0.489269326446361	9.63743618243029e-09
D7	OTU_391	1.66923076923077	0.35	4	186	4.78204966930642e-21	0.506766231038819	2.39037911686779e-09
D7	OTU_392	538936.553846154	163.1	4	128868.949110975	0	0.531003623035516	3.19571369367111e-10
D7	OTU_393	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_394	0.143589743589744	0.1	3	56	0.0380966886946534	0.529071254594338	3.76476960717298e-10
D7	OTU_397	15352.458974359	21.45	3	27913.5617715618	0	0.515546012856685	1.16578857678462e-09
D7	OTU_398	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_399	0.130769230769231	0.15	6	34	0.697041071474096	0.510855744693124	1.71347880328909e-09
D7	OTU_400	0.0711538461538462	0.075	3	37	0.561409819379416	0.535708278325764	2.13898010414937e-10
D7	OTU_402	126.869230769231	2.45	4	2019.55102040816	0	0.501215533938968	3.7398746322026e-09
D7	OTU_406	0.199358974358974	0.175	6	44.4285714285714	0.253665586972742	0.502448914919661	3.38725569815068e-09
D7	OTU_408	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_410	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_411	177104.230128205	95.225	7	72534.1556839065	0	0.537657206408458	1.80936599036841e-10
D7	OTU_412	1380.625	5.875	1	9165	0	0.537816469418554	1.78474124368222e-10
D7	OTU_415	3.48653846153846	0.525	4	259	2.87940517315017e-34	0.510708278325764	1.734254073682e-09
D7	OTU_417	55.1897435897436	1.2	2	1793.66666666667	0	0.514161841236277	1.30659050245896e-09
D7	OTU_418	67.0865384615385	1.875	3	1395.4	1.47708022384879e-267	0.515534420067841	1.16690379581286e-09
D7	OTU_422	4.46089743589744	0.725	5	239.965517241379	9.65944721978299e-31	0.509299661743588	1.94550464627241e-09
D7	OTU_423	55.2692307692308	1.25	2	1724.4	0	0.516763011801258	1.05431596786332e-09
D7	OTU_425	1462.71794871795	9	5	6338.44444444444	0	0.482844169922068	1.58843385111851e-08
D7	OTU_426	1.6	0.2	1	312	2.71899816195678e-44	0.537816469418554	1.78474124368222e-10
D7	OTU_427	50.625	1.125	1	1755	0	0.537816469418554	1.78474124368222e-10
D7	OTU_428	15.7538461538462	0.8	2	768	4.16456550623822e-136	0.529868250412881	3.51897289085912e-10
D7	OTU_429	0.438461538461538	0.15	3	114	2.82767263760108e-09	0.514605341381721	1.25975896381192e-09
D7	OTU_430	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_431	0.4	0.1	1	156	6.3288719434137e-16	0.537816469418554	1.78474124368222e-10
D7	OTU_432	1.37435897435897	0.4	5	134	2.39276119554916e-12	0.508523747837069	2.0723864846417e-09
D7	OTU_433	155.784615384615	2.9	5	2095.03448275862	0	0.510495999131349	1.76459258316441e-09
D7	OTU_434	30.6051282051282	0.9	2	1326.22222222222	6.07097567804476e-253	0.514616460788747	1.25860610822315e-09
D7	OTU_435	0.225	0.075	1	117	1.00860452443215e-09	0.537816469418554	1.78474124368222e-10
D7	OTU_437	7.20769230769231	0.65	4	432.461538461538	7.65460531879959e-68	0.495653077128234	5.82789105862958e-09
D7	OTU_438	5.1224358974359	0.575	4	347.434782608696	3.96560896444739e-51	0.500273880076524	4.03294386774888e-09
D7	OTU_440	12.1128205128205	0.7	6	674.857142857143	6.44980656263531e-117	0.429701274303477	7.6889791200685e-07
D7	OTU_441	340.130769230769	4.35	5	3049.44827586207	0	0.479176498484196	2.10648058995844e-08
D7	OTU_442	1927.72051282051	9.15	2	8216.51366120219	0	0.532541923802779	2.80366063698523e-10
D7	OTU_443	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_445	21.0711538461538	0.825	3	996.090909090909	1.49495102529332e-183	0.496315977812974	5.52923262731042e-09
D7	OTU_448	5383347.60961538	420.075	11	499793.029280486	0	0.463532696525461	6.8539358522024e-08
D7	OTU_451	0.122435897435897	0.075	2	63.6666666666667	0.00757732631292697	0.534859739190541	2.30021557356963e-10
D7	OTU_453	1.23012820512821	0.475	10	101	2.12408738172312e-07	0.415772996747641	1.97246287558794e-06
D7	OTU_454	28.5230769230769	1.2	2	927	3.99223589432099e-169	0.538889639906332	1.62715729778995e-10
D7	OTU_455	249.84358974359	2.55	2	3821.13725490196	0	0.514081926779564	1.3152079425538e-09
D7	OTU_457	0.122435897435897	0.075	2	63.6666666666667	0.00757732631292697	0.534859739190541	2.30021557356963e-10
D7	OTU_458	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_460	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_461	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_462	4.90705128205128	0.375	2	510.333333333333	1.988160135266e-83	0.517214144949558	1.01569719301864e-09
D7	OTU_468	3.23012820512821	0.525	8	239.952380952381	9.71335323718474e-31	0.414899510496948	2.09034564702115e-06
D7	OTU_469	2.35641025641026	0.45	5	204.222222222222	2.91333667312872e-24	0.49029551811015	8.89275952875579e-09
D7	OTU_470	7.225	0.425	1	663	1.74711461636842e-114	0.537816469418554	1.78474124368222e-10
D7	OTU_472	7.22820512820513	0.45	2	626.444444444445	5.32202198003595e-107	0.516463516793162	1.08074205140696e-09
D7	OTU_475	5.68653846153846	0.425	2	521.823529411765	9.58377453619373e-86	0.520726267974626	7.58771490083632e-10
D7	OTU_478	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_479	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_484	0.246153846153846	0.1	2	96	1.04012833594254e-06	0.529868250412881	3.51897289085912e-10
D7	OTU_485	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_486	0.419871794871795	0.125	2	131	7.11262973950273e-12	0.526484737832737	4.6837722589288e-10
D7	OTU_489	1.025	0.275	5	145.363636363636	3.5741408843656e-14	0.482045058362975	1.68950039514115e-08
D7	OTU_490	0.1	0.05	1	78	0.000207739952128995	0.537816469418554	1.78474124368222e-10
D7	OTU_491	10.0455128205128	0.575	3	681.347826086957	2.99763919049459e-118	0.496980486078341	5.24484000674619e-09
D7	OTU_493	1.67948717948718	0.25	2	262	7.93556774363409e-35	0.526484737832737	4.6837722589288e-10
D7	OTU_495	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_5	622332.779487179	363.7	30	66733.5122353588	0	0.322387483720906	0.000489783063596372
D7	OTU_501	20.4897435897436	1.85	8	431.945945945946	9.69048844476376e-68	0.458619678658353	9.84798782521779e-08
D7	OTU_502	3.7025641025641	0.7	8	206.285714285714	1.24781257541246e-24	0.441991330484117	3.26329014588289e-07
D7	OTU_503	4.62564102564103	0.7	8	257.714285714286	4.99876213461454e-34	0.427587623481128	8.88841524715467e-07
D7	OTU_504	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_510	0.419871794871795	0.125	2	131	7.11262973950273e-12	0.526484737832737	4.6837722589288e-10
D7	OTU_515	0.0711538461538462	0.075	3	37	0.561409819379416	0.535708278325764	2.13898010414937e-10
D7	OTU_516	1.64038461538462	0.275	4	232.636363636364	2.13640692411138e-29	0.485004747838494	1.34374364968437e-08
D7	OTU_517	4.40769230769231	0.45	2	382	7.07926286806214e-58	0.534859739190541	2.30021557356963e-10
D7	OTU_518	0.0487179487179487	0.05	2	38	0.515344526832293	0.539605341381721	1.52971968425675e-10
D7	OTU_52	53694.9685897436	104.425	19	20053.6631553747	0	0.335119090001149	0.000250704105171473
D7	OTU_520	10.0487179487179	0.95	7	412.526315789474	6.84817068941548e-64	0.442792140319893	3.08346038924157e-07
D7	OTU_523	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_524	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_528	0.025	0.025	1	39	0.469878197771206	0.537816469418554	1.78474124368222e-10
D7	OTU_53	22970.6762820513	83.125	34	10777.2195488722	0	0.324305240433611	0.000443521651731671
